id,GMSTP,SRSTR,PLHTN,HER
EMF2100655239,28.13,5.19,292.64,0.38
EMF2100656820,29.13,4.84,297,0.37
EMF2100654997,28.18,5.83,302.01,0.4
EMF2100655467,29.82,5.13,303.98,0.39
EMF2001515371,27.34,4.96,300.79,0.37
EMF2200587929,24.17,5.43,306.18,0.34
EMF2100247322,28.71,5.4,319.63,0.38
EMF2100770675,30.24,4.78,297.33,0.39
EMF2100770711,27.01,6.44,303.23,0.39
EMF2100769809,31.6,3.9,305.22,0.34
EMF2100770438,33.51,2.75,298.01,0.39
EMF2200589983,33.89,5.32,293.7,0.45
EMF2000529193,24.9,5.52,289.71,0.37
EMF2001103132,29.53,4.49,320.27,0.4
EMF1700596199,24.65,5.57,298.64,0.36
EMF2001299761,27.34,6.09,324.93,0.39
EMF2000987541,28.18,5.55,298.51,0.35
EMF2000987565,26.27,6.38,292.97,0.38
EMF2001300823,27.96,6.35,311.16,0.35
EMF2200590722,30.38,5.35,303.52,0.39
EMF2201896152,31.35,4.98,301.98,0.38
EMF1700589257,30.16,4.94,299.58,0.39
EMF2100775107,27.6,5.17,294.63,0.37
EMF1601067666,25.13,5.87,301.48,0.37
EMF2100289301,27.64,5.5,303.91,0.4
EMF2001299807,27.43,5.52,291.69,0.38
EMF2100580211,27.49,5.53,302.02,0.36
EMF2100580247,27.05,5.28,292.09,0.36
EMF2200587109,24.68,5.41,300.94,0.36
EMF2201896130,26.99,5.36,305.7,0.37
EMF2001456929,29.16,4.07,285.33,0.41
EMF2100770369,26.43,6.92,303.88,0.36
EMF2100248181,30.65,5.84,290.8,0.37
EMF2200591406,31.08,4.38,309.37,0.46
EMF2100770330,29.18,5.49,286.77,0.37
EMF2101394531,31.76,5.23,298.66,0.36
EMF2101394524,28.33,4.62,309.14,0.42
EMF2201896354,28.11,5.87,307.37,0.37
EMF2000340111,27.45,5.47,306.72,0.35
EMF1900599186,30.76,5.47,302.79,0.36
EMF2101080825,23.07,5.44,299.48,0.37
EMF2200460951,31.21,5.4,299.32,0.37
EMF1900025939,31.33,6.36,NA,NA
EMF2100000525,24.43,6.09,297.52,0.34
EMF1900025860,25.54,5.24,NA,NA
EMF2000001121,22.9,6.38,284.4,0.35
EMF1900598849,27.78,5.02,294.27,0.35
EMF2100289546,26.75,5.81,298.67,0.35
EMF2100289707,27.64,5.22,282.36,0.4
EMF2100289670,28.93,5.5,285.89,0.4
EMF2100289528,28.39,5.2,298.67,0.41
EMF2100289760,28.88,4.89,287.53,0.37
EMF2100775541,26.97,4.44,280.49,0.37
EMF2100775583,26.92,6.24,303.42,0.36
EMF2100775513,31.34,3.9,311.28,0.4
EMF2100775579,28.51,5.76,294.41,0.39
EMF2100775575,27.44,6.04,297.53,0.41
EMF2100775435,31.78,3.26,334,0.42
EMF2100775318,27.76,5.98,NA,NA
EMF2100770641,28.85,5.39,306.01,0.4
EMF2100775692,29.11,5.58,283.12,0.36
EMF2100775622,27.87,4.05,287.37,0.38
EMF2100769394,28.88,4.21,314.8,0.39
EMF2100775760,29.13,4.51,278.53,0.34
EMF2100775396,28.12,5.73,311.28,0.4
